Geography, Mean income (dollars)
San Francisco County,111866
Marin County,97009
Santa Clara County,94643
San Mateo County,93443
Orange County,73883
Alameda County,73298
Napa County,73157
Contra Costa County,72354
Ventura County,69327
Santa Barbara County,68106
San Benito County,67323
San Diego County,67252
Santa Cruz County,66821
Los Angeles County,65092
Placer County,63696
Sonoma County,62944
Monterey County,62313
Solano County,59248
Mono County,57955
Nevada County,56175
El Dorado County,56048
Kings County,55963
Sacramento County,55861
San Luis Obispo County,55596
Tuolumne County,51995
Riverside County,51581
Mendocino County,49952
Yolo County,49730
Plumas County,48984
San Joaquin County,48244
San Bernardino County,47793
Sutter County,47791
Kern County,47741
Alpine County,47028
Lassen County,46349
Stanislaus County,46105
Fresno County,45987
Madera County,45518
Colusa County,44955
Yuba County,44552
Inyo County,44227
Merced County,43786
Calaveras County,43678
Tulare County,42126
Mariposa County,41680
Butte County,41019
Shasta County,40442
Amador County,39939
Humboldt County,39122
Siskiyou County,37531
Del Norte County,37519
Imperial County,36964
Lake County,36757
Tehama County,34788
Trinity County,33753
Glenn County,32669
Modoc County,31760
Sierra County,29782
