Geography, Mean income (dollars)
San Francisco,111866
Marin,97009
Santa Clara,94643
San Mateo,93443
Orange,73883
Alameda,73298
Napa,73157
Contra Costa,72354
Ventura,69327
Santa Barbara,68106
San Benito,67323
San Diego,67252
Santa Cruz,66821
Los Angeles,65092
Placer,63696
Sonoma,62944
Monterey,62313
Solano,59248
Mono,57955
Nevada,56175
El Dorado,56048
Kings,55963
Sacramento,55861
San Luis Obispo,55596
Tuolumne,51995
Riverside,51581
Mendocino,49952
Yolo,49730
Plumas,48984
San Joaquin,48244
San Bernardino,47793
Sutter,47791
Kern,47741
Alpine,47028
Lassen,46349
Stanislaus,46105
Fresno,45987
Madera,45518
Colusa,44955
Yuba,44552
Inyo,44227
Merced,43786
Calaveras,43678
Tulare,42126
Mariposa,41680
Butte,41019
Shasta,40442
Amador,39939
Humboldt,39122
Siskiyou,37531
Del Norte,37519
Imperial,36964
Lake,36757
Tehama,34788
Trinity,33753
Glenn,32669
Modoc,31760
Sierra,29782
